step	op	A_coord	B_coord
0	GAP_B	618	NA
9	GAP_A	NA	2357
18	GAP_B	4819	NA
22	GAP_B	5850	NA
51	GAP_B	11492	NA
68	GAP_B	15380	NA
69	GAP_B	15849	NA
70	GAP_B	16537	NA
73	GAP_A	NA	16051
83	GAP_A	NA	17822
84	GAP_A	NA	18729
85	GAP_A	NA	19465
86	GAP_A	NA	19975
87	GAP_A	NA	20538
88	GAP_A	NA	20833
89	GAP_A	NA	21310
90	GAP_A	NA	21533
91	GAP_A	NA	21656
92	GAP_A	NA	22283
93	GAP_A	NA	22952
94	GAP_A	NA	23084
95	GAP_A	NA	23980
96	GAP_A	NA	24270
97	GAP_B	19154	NA
105	GAP_A	NA	27453
117	GAP_B	23953	NA
126	GAP_B	25448	NA
131	GAP_A	NA	30827
132	GAP_A	NA	30851
151	GAP_A	NA	35820
152	GAP_A	NA	37030
154	GAP_A	NA	38274
155	GAP_B	32115	NA
172	GAP_A	NA	40959
178	GAP_B	36968	NA
186	GAP_B	39298	NA
201	GAP_B	42741	NA
218	GAP_A	NA	49544
219	GAP_A	NA	49843
220	GAP_B	45130	NA
228	GAP_A	NA	51204
242	GAP_A	NA	53418
245	GAP_A	NA	53599
251	GAP_A	NA	54444
252	GAP_B	50029	NA
303	GAP_B	60891	NA
319	GAP_B	61799	NA
326	GAP_A	NA	69086
333	GAP_A	NA	69619
359	GAP_A	NA	74208
361	GAP_B	69967	NA
366	GAP_A	NA	76385
367	GAP_A	NA	76412
369	GAP_B	71844	NA
371	GAP_A	NA	76812
380	GAP_A	NA	78594
390	GAP_B	75955	NA
391	GAP_B	75975	NA
393	GAP_B	76036	NA
399	GAP_B	77151	NA
400	GAP_B	77622	NA
404	GAP_B	78342	NA
406	GAP_B	79027	NA
408	GAP_A	NA	82522
409	GAP_A	NA	82980
417	GAP_B	81322	NA
423	GAP_B	82785	NA
433	GAP_A	NA	90280
435	GAP_B	85758	NA
441	GAP_A	NA	91779
499	GAP_B	102069	NA
503	GAP_A	NA	108159
549	GAP_B	116196	NA
568	GAP_A	NA	124910
595	GAP_B	124794	NA
602	GAP_B	126104	NA
604	GAP_B	126407	NA
612	GAP_B	128333	NA
623	GAP_A	NA	136292
631	GAP_B	133458	NA
646	GAP_A	NA	141025
668	GAP_B	140787	NA
678	GAP_B	142979	NA
691	GAP_A	NA	150130
692	GAP_A	NA	151664
693	GAP_B	145757	NA
694	GAP_B	147557	NA
702	GAP_A	NA	153709
703	GAP_A	NA	154221
704	GAP_B	149117	NA
707	GAP_A	NA	154944
708	GAP_A	NA	155731
710	GAP_A	NA	155934
711	GAP_B	150493	NA
715	GAP_A	NA	157158
716	GAP_A	NA	157436
717	GAP_A	NA	157684
719	GAP_A	NA	159148
720	GAP_A	NA	159392
721	GAP_B	152608	NA
723	GAP_B	153262	NA
725	GAP_B	154438	NA
728	GAP_B	154990	NA
729	GAP_B	155278	NA
743	GAP_B	160010	NA
769	GAP_B	165260	NA
775	GAP_A	NA	170084
783	GAP_A	NA	171476
785	GAP_B	167236	NA
789	GAP_A	NA	173105
799	GAP_A	NA	174570
800	GAP_B	170247	NA
801	GAP_B	170673	NA
802	GAP_B	170807	NA
806	GAP_A	NA	176113
814	GAP_B	173368	NA
816	GAP_A	NA	178304
819	GAP_A	NA	178869
843	GAP_A	NA	184261
867	GAP_B	184167	NA
868	GAP_B	184253	NA
869	GAP_B	184459	NA
870	GAP_B	184613	NA
871	GAP_B	184702	NA
876	GAP_B	186138	NA
882	GAP_A	NA	191648
897	GAP_A	NA	195872
898	GAP_A	NA	196116
899	GAP_B	192385	NA
926	GAP_B	198557	NA
939	GAP_B	200408	NA
971	GAP_B	204587	NA
986	GAP_B	206411	NA
997	GAP_A	NA	210979
1010	GAP_B	210499	NA
1020	GAP_B	211358	NA
1051	GAP_B	218574	NA
1061	GAP_A	NA	223794
1066	GAP_B	220878	NA
1071	GAP_A	NA	225385
1082	GAP_B	225655	NA
1086	GAP_A	NA	231299
1095	GAP_B	230473	NA
1102	GAP_A	NA	235201
1103	GAP_B	231871	NA
1104	GAP_B	232834	NA
1110	GAP_A	NA	238248
1122	GAP_A	NA	240304
1123	GAP_B	236753	NA
1124	GAP_B	239065	NA
1125	GAP_B	240075	NA
1129	GAP_B	241229	NA
1133	GAP_A	NA	243901
1134	GAP_A	NA	244295
1136	GAP_A	NA	244986
1138	GAP_A	NA	246213
1143	GAP_B	242871	NA
1146	GAP_A	NA	248794
1148	GAP_A	NA	249148
1151	GAP_B	244075	NA
1153	GAP_A	NA	250359
1156	GAP_B	244941	NA
1162	GAP_B	245854	NA
1163	GAP_B	246032	NA
1165	GAP_B	246663	NA
1167	GAP_B	247311	NA
1168	GAP_B	248194	NA
1170	GAP_B	248746	NA
1175	GAP_A	NA	255207
1176	GAP_B	249374	NA
1182	GAP_B	249955	NA
1184	GAP_B	251515	NA
1186	GAP_B	252076	NA
1188	GAP_A	NA	257146
1190	GAP_B	253555	NA
1192	GAP_A	NA	257215
1193	GAP_A	NA	257263
1202	GAP_A	NA	258297
1203	GAP_A	NA	258317
1205	GAP_B	256165	NA
1207	GAP_B	256874	NA
1210	GAP_A	NA	259188
1212	GAP_A	NA	259644
1214	GAP_B	257863	NA
1219	GAP_B	260442	NA
1220	GAP_B	260542	NA
1221	GAP_B	260894	NA
1225	GAP_B	262152	NA
1226	GAP_B	262203	NA
1228	GAP_A	NA	261984
1229	GAP_B	262474	NA
1233	GAP_A	NA	262763
1235	GAP_B	263181	NA
1237	GAP_A	NA	264289
1238	GAP_B	265813	NA
1240	GAP_B	267726	NA
1244	GAP_B	268911	NA
1246	GAP_A	NA	266438
1249	GAP_A	NA	266570
1250	GAP_A	NA	270726
1252	GAP_A	NA	270867
1253	GAP_A	NA	270978
1254	GAP_A	NA	271868
1256	GAP_B	270068	NA
1260	GAP_A	NA	273077
1266	GAP_A	NA	276232
1268	GAP_A	NA	277105
1270	GAP_A	NA	278179
1275	GAP_B	273551	NA
1277	GAP_A	NA	279848
1279	GAP_B	274107	NA
1281	GAP_B	274597	NA
1282	GAP_B	275117	NA
1285	GAP_B	276205	NA
1286	GAP_B	276608	NA
1289	GAP_A	NA	280921
1291	GAP_A	NA	281620
1296	GAP_A	NA	282156
1297	GAP_A	NA	282444
1299	GAP_A	NA	282909
1300	GAP_A	NA	283371
1307	GAP_A	NA	284425
1308	GAP_A	NA	285147
1309	GAP_A	NA	285376
1310	GAP_A	NA	286633
1313	GAP_A	NA	287126
1314	GAP_B	279059	NA
1317	GAP_A	NA	287825
1318	GAP_A	NA	287842
1319	GAP_A	NA	288447
1321	GAP_A	NA	289402
1325	GAP_A	NA	291443
1329	GAP_A	NA	292746
1330	GAP_A	NA	293024
1332	GAP_A	NA	293453
1336	GAP_A	NA	294053
1337	GAP_A	NA	294265
1338	GAP_A	NA	294581
1339	GAP_A	NA	294762
1340	GAP_A	NA	295200
1344	GAP_A	NA	295751
1345	GAP_A	NA	296308
1346	GAP_A	NA	296575
1347	GAP_A	NA	297004
1350	GAP_A	NA	297654
1351	GAP_A	NA	298006
1357	GAP_A	NA	299264
1359	GAP_A	NA	299642
1360	GAP_A	NA	299834
1361	GAP_A	NA	300135
1362	GAP_A	NA	300987
1364	GAP_A	NA	301405
1366	GAP_A	NA	302065
1367	GAP_A	NA	302183
1370	GAP_A	NA	303188
1373	GAP_A	NA	303527
1374	GAP_A	NA	303937
1378	GAP_A	NA	304875
1381	GAP_A	NA	307080
1384	GAP_B	284913	NA
1386	GAP_A	NA	308207
1389	GAP_A	NA	308651
1390	GAP_A	NA	308732
1392	GAP_B	286539	NA
1394	GAP_A	NA	309972
1395	GAP_A	NA	310301
1396	GAP_A	NA	310955
1397	GAP_A	NA	310979
1398	GAP_A	NA	311376
1401	GAP_B	289123	NA
1405	GAP_A	NA	313631
1409	GAP_A	NA	314704
1410	GAP_A	NA	315407
1412	GAP_A	NA	317731
1413	GAP_B	292497	NA
1415	GAP_A	NA	318350
1416	GAP_A	NA	319434
1419	GAP_A	NA	320578
1420	GAP_A	NA	320760
1424	GAP_A	NA	321387
1425	GAP_A	NA	322371
1428	GAP_A	NA	324543
1429	GAP_A	NA	325848
1430	GAP_B	295313	NA
1431	GAP_B	295479	NA
1433	GAP_A	NA	326392
1434	GAP_A	NA	327168
1436	GAP_B	295781	NA
1437	GAP_B	296103	NA
1439	GAP_B	296355	NA
1443	GAP_A	NA	328786
1458	GAP_A	NA	333596
1459	GAP_A	NA	334119
1460	GAP_B	301187	NA
1471	GAP_A	NA	336830
1472	GAP_A	NA	337127
1473	GAP_B	304421	NA
1475	GAP_B	305766	NA
1496	GAP_A	NA	344436
1497	GAP_A	NA	345237
1498	GAP_A	NA	345828
1500	GAP_A	NA	346288
1501	GAP_A	NA	346427
1502	GAP_A	NA	347233
1504	GAP_A	NA	347591
1505	GAP_A	NA	347629
1508	GAP_B	313762	NA
1510	GAP_A	NA	348748
1511	GAP_A	NA	348957
1512	GAP_A	NA	349116
1513	GAP_A	NA	349934
1515	GAP_A	NA	352308
1516	GAP_A	NA	352389
1518	GAP_A	NA	352536
1519	GAP_A	NA	352614
1520	GAP_A	NA	354410
1522	GAP_A	NA	355313
1523	GAP_A	NA	355436
1524	GAP_A	NA	355441
1526	GAP_A	NA	356820
1527	GAP_A	NA	357451
1528	GAP_A	NA	358834
1529	GAP_A	NA	359159
1532	GAP_B	318737	NA
1535	GAP_B	319367	NA
1554	GAP_B	322745	NA
1565	GAP_A	NA	368462
1566	GAP_A	NA	369384
1567	GAP_A	NA	370124
1568	GAP_A	NA	371920
1598	GAP_A	NA	377439
1602	GAP_B	330172	NA
1607	GAP_A	NA	379065
1610	GAP_A	NA	380739
1611	GAP_A	NA	380766
1612	GAP_A	NA	380826
1613	GAP_A	NA	381025
1616	GAP_A	NA	381826
1617	GAP_A	NA	382717
1618	GAP_A	NA	383717
1626	GAP_B	335483	NA
1631	GAP_B	337512	NA
1648	GAP_A	NA	390498
1649	GAP_B	338999	NA
1650	GAP_B	339334	NA
1659	GAP_A	NA	394181
1660	GAP_A	NA	394475
1661	GAP_A	NA	395801
1662	GAP_A	NA	395862
1663	GAP_A	NA	395924
1665	GAP_A	NA	396662
1669	GAP_A	NA	397257
1670	GAP_A	NA	397310
1672	GAP_A	NA	397445
1673	GAP_A	NA	397511
1674	GAP_A	NA	397681
1675	GAP_A	NA	398082
1676	GAP_A	NA	398466
1677	GAP_A	NA	398576
1678	GAP_A	NA	399480
1679	GAP_A	NA	399586
1681	GAP_A	NA	399797
1696	GAP_A	NA	403504
1697	GAP_A	NA	403994
1700	GAP_B	347293	NA
1709	GAP_B	349190	NA
1717	GAP_B	351498	NA
1719	GAP_B	352246	NA
1733	GAP_A	NA	410984
1734	GAP_B	354562	NA
1735	GAP_B	354567	NA
1742	GAP_A	NA	415064
1749	GAP_A	NA	416461
1754	GAP_B	361085	NA
1765	GAP_B	364864	NA
1772	GAP_B	366070	NA
1776	GAP_A	NA	424023
1777	GAP_A	NA	424457
1778	GAP_A	NA	424590
1779	GAP_A	NA	425683
1799	GAP_A	NA	430082
1808	GAP_A	NA	431570
1818	GAP_A	NA	433462
1819	GAP_B	374860	NA
1822	GAP_A	NA	434662
1823	GAP_A	NA	435213
1824	GAP_B	376462	NA
1825	GAP_B	376638	NA
1826	GAP_B	377608	NA
1834	GAP_B	379755	NA
1835	GAP_B	380383	NA
1837	GAP_A	NA	438517
1838	GAP_A	NA	438598
1839	GAP_A	NA	438650
1847	GAP_A	NA	440698
1848	GAP_A	NA	440851
1850	GAP_A	NA	441495
1851	GAP_A	NA	441809
1852	GAP_A	NA	441872
1853	GAP_A	NA	441914
1854	GAP_A	NA	441959
1856	GAP_A	NA	442031
1857	GAP_A	NA	442050
1859	GAP_A	NA	442916
1860	GAP_A	NA	442955
1861	GAP_A	NA	443041
1862	GAP_A	NA	443114
1863	GAP_A	NA	443222
1864	GAP_A	NA	443906
1865	GAP_A	NA	444265
1866	GAP_A	NA	444296
1868	GAP_A	NA	444575
1869	GAP_A	NA	444662
1870	GAP_A	NA	445435
1871	GAP_A	NA	445854
1872	GAP_B	384423	NA
1876	GAP_A	NA	448261
1885	GAP_A	NA	449809
1886	GAP_B	388609	NA
1893	GAP_A	NA	451805
1895	GAP_B	390622	NA
1896	GAP_B	391207	NA
1898	GAP_B	391709	NA
1908	GAP_A	NA	454960
1930	GAP_B	398964	NA
1968	GAP_A	NA	466995
1970	GAP_A	NA	467592
1971	GAP_A	NA	467998
1973	GAP_A	NA	468811
1975	GAP_A	NA	468991
1977	GAP_A	NA	470035
1978	GAP_A	NA	470212
1981	GAP_A	NA	470542
1982	GAP_A	NA	470575
1983	GAP_A	NA	470696
1986	GAP_A	NA	470819
2003	GAP_A	NA	475440
2044	GAP_A	NA	485973
2045	GAP_A	NA	486417
2046	GAP_A	NA	486789
2047	GAP_A	NA	486979
2048	GAP_A	NA	487285
2049	GAP_A	NA	487555
2059	GAP_B	426477	NA
2060	GAP_B	426487	NA
2069	GAP_A	NA	491426
2070	GAP_A	NA	492141
2071	GAP_B	427795	NA
2074	GAP_A	NA	492737
2079	GAP_A	NA	494083
2080	GAP_A	NA	494249
2082	GAP_A	NA	494576
2093	GAP_A	NA	497081
2096	GAP_B	433757	NA
2123	GAP_A	NA	501723
2124	GAP_A	NA	502314
2125	GAP_A	NA	502551
2126	GAP_A	NA	502563
2127	GAP_A	NA	502824
2128	GAP_A	NA	502884
2129	GAP_A	NA	503080
2137	GAP_A	NA	505028
2140	GAP_A	NA	505316
2142	GAP_B	439289	NA
2145	GAP_A	NA	506750
2153	GAP_B	442774	NA
2161	GAP_A	NA	511075
2168	GAP_B	447213	NA
2207	GAP_B	456001	NA
2230	GAP_A	NA	526300
2245	GAP_A	NA	528718
2246	GAP_A	NA	528736
2254	GAP_B	466520	NA
2281	GAP_B	474116	NA
2296	GAP_B	477939	NA
2311	GAP_B	481478	NA
2359	GAP_A	NA	555642
2363	GAP_B	489760	NA
2366	GAP_A	NA	557609
2369	GAP_A	NA	557687
2373	GAP_B	492462	NA
2400	GAP_A	NA	563693
2412	GAP_B	500859	NA
2416	GAP_A	NA	567565
2443	GAP_A	NA	572610
2445	GAP_A	NA	572805
2446	GAP_A	NA	573678
2447	GAP_A	NA	573866
2449	GAP_A	NA	574241
2451	GAP_A	NA	575022
2452	GAP_A	NA	575123
2453	GAP_A	NA	575367
2454	GAP_A	NA	576456
2455	GAP_A	NA	576912
2457	GAP_A	NA	578263
2458	GAP_A	NA	578356
2459	GAP_A	NA	578677
2460	GAP_A	NA	578740
2461	GAP_A	NA	578764
2463	GAP_A	NA	579103
2464	GAP_A	NA	579367
2465	GAP_A	NA	579439
2466	GAP_A	NA	579797
2468	GAP_A	NA	581085
2469	GAP_A	NA	581516
2470	GAP_A	NA	581540
2471	GAP_A	NA	581910
2472	GAP_A	NA	582714
2473	GAP_A	NA	582839
2475	GAP_A	NA	583076
2476	GAP_A	NA	583314
2477	GAP_A	NA	583386
2478	GAP_A	NA	583434
2479	GAP_A	NA	584031
2482	GAP_A	NA	584870
2483	GAP_A	NA	585057
2484	GAP_A	NA	585363
2485	GAP_A	NA	585459
2486	GAP_A	NA	585834
2487	GAP_A	NA	586656
2488	GAP_A	NA	586860
2489	GAP_A	NA	587157
2490	GAP_A	NA	587253
2491	GAP_A	NA	587336
2492	GAP_A	NA	588146
2493	GAP_A	NA	588233
2495	GAP_A	NA	588500
2496	GAP_A	NA	588654
2498	GAP_A	NA	588827
2500	GAP_A	NA	589302
2501	GAP_A	NA	589347
2502	GAP_A	NA	589733
2503	GAP_A	NA	589950
2504	GAP_A	NA	589967
2505	GAP_A	NA	590141
2506	GAP_A	NA	590320
2507	GAP_A	NA	590627
2508	GAP_A	NA	590922
2509	GAP_A	NA	591670
2510	GAP_A	NA	591744
2512	GAP_A	NA	592391
2513	GAP_A	NA	592421
2515	GAP_A	NA	593016
2519	GAP_A	NA	594221
2520	GAP_B	511673	NA
2522	GAP_A	NA	594488
2523	GAP_A	NA	594508
2524	GAP_A	NA	594513
2525	GAP_A	NA	594537
2526	GAP_A	NA	594557
2527	GAP_A	NA	595118
2528	GAP_A	NA	595335
2529	GAP_A	NA	595887
2530	GAP_A	NA	595949
2531	GAP_A	NA	596535
2532	GAP_A	NA	596736
2533	GAP_A	NA	596787
2534	GAP_A	NA	597084
2535	GAP_A	NA	597212
2536	GAP_A	NA	597429
2537	GAP_A	NA	597737
2538	GAP_A	NA	597756
2539	GAP_A	NA	597788
2540	GAP_A	NA	597809
2542	GAP_A	NA	598338
2543	GAP_A	NA	598382
2544	GAP_A	NA	598650
2545	GAP_A	NA	599096
2547	GAP_A	NA	599187
2548	GAP_A	NA	599562
2550	GAP_A	NA	599903
2551	GAP_A	NA	600093
2552	GAP_A	NA	600495
2553	GAP_A	NA	600668
2554	GAP_A	NA	600762
2555	GAP_A	NA	601245
2558	GAP_A	NA	601742
2561	GAP_A	NA	602135
2562	GAP_A	NA	602186
2563	GAP_A	NA	602217
2564	GAP_A	NA	602260
2565	GAP_A	NA	602275
2566	GAP_A	NA	602291
2567	GAP_A	NA	602393
2568	GAP_A	NA	602444
2569	GAP_A	NA	602771
2570	GAP_A	NA	602886
2571	GAP_A	NA	603147
2573	GAP_A	NA	603567
2574	GAP_A	NA	604360
2575	GAP_A	NA	606579
2576	GAP_A	NA	606645
2577	GAP_A	NA	606716
2579	GAP_A	NA	607524
2580	GAP_A	NA	607912
2617	GAP_B	526923	NA
2618	GAP_B	527056	NA
2619	GAP_B	527170	NA
2653	GAP_A	NA	630198
2654	GAP_B	537910	NA
2656	GAP_B	538711	NA
2659	GAP_A	NA	631807
2666	GAP_B	542424	NA
2669	GAP_A	NA	635350
2670	GAP_A	NA	635588
2671	GAP_A	NA	635750
2674	GAP_A	NA	636719
2700	GAP_A	NA	643613
2722	GAP_B	555927	NA
2727	GAP_A	NA	649274
2728	GAP_B	557120	NA
2729	GAP_B	557128	NA
2730	GAP_B	557768	NA
2734	GAP_B	559276	NA
2756	GAP_B	564651	NA
2757	GAP_B	565194	NA
2758	GAP_B	566638	NA
2759	GAP_B	566777	NA
2760	GAP_B	568029	NA
2762	GAP_A	NA	657723
2763	GAP_A	NA	657795
2764	GAP_A	NA	657817
2766	GAP_B	571108	NA
2767	GAP_B	571482	NA
2768	GAP_B	571747	NA
2771	GAP_B	573562	NA
2772	GAP_B	574107	NA
2773	GAP_B	574743	NA
2776	GAP_B	575753	NA
2778	GAP_B	575912	NA
2781	GAP_B	576284	NA
2783	GAP_B	576719	NA
2784	GAP_B	576944	NA
2786	GAP_B	578507	NA
2790	GAP_B	580084	NA
